#Variables:
#pr_bcc-csm1-1_historical(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_historical(mm):Monthly Precipitation Amount
#pr_inmcm4_historical(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_historical(mm):Monthly Precipitation Amount
#pr_NorESM1-M_historical(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_historical(mm),pr_CNRM-CM5_historical(mm),pr_inmcm4_historical(mm),pr_MIROC-ESM_historical(mm),pr_NorESM1-M_historical(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_historical(mm),pr_CNRM-CM5_historical(mm),pr_inmcm4_historical(mm),pr_MIROC-ESM_historical(mm),pr_NorESM1-M_historical(mm)
1961-01-15,88.492310,71.286804,100.866035,68.935852,201.129532
1961-02-15,150.974319,111.332603,83.292969,74.407242,117.564224
1961-03-15,274.376190,74.687988,214.313873,138.114304,99.759727
1961-04-15,22.229824,82.751816,33.895405,96.553673,142.029541
1961-05-15,88.576447,146.657516,20.391666,100.996574,23.382671
1961-06-15,34.203758,119.487404,3.471487,127.677673,72.447929
1961-07-15,15.875784,67.399994,15.581495,39.278103,143.619370
1961-08-15,73.920319,133.564133,220.415634,13.687111,75.238716
1961-09-15,147.105804,10.870055,78.968918,91.139671,83.822205
1961-10-15,163.826141,44.881817,35.371704,100.190895,60.527119
1961-11-15,144.121201,63.196350,23.263729,45.963448,78.712852
1961-12-15,41.371773,106.835701,133.578354,146.956055,13.346726
1962-01-15,124.539009,37.720615,170.119904,267.500061,136.459976
1962-02-15,131.806595,205.807083,187.997253,264.939392,54.794479
1962-03-15,155.188248,171.312653,212.200714,179.212219,160.201721
1962-04-15,154.225998,159.138184,127.529259,124.930847,37.386585
1962-05-15,100.498726,74.264244,101.095718,168.047195,122.994514
1962-06-15,93.523262,93.105240,57.469837,45.771435,133.182648
1962-07-15,370.434448,52.619892,93.953598,21.319462,71.496796
1962-08-15,22.653704,84.086189,171.942932,31.410318,94.192528
1962-09-15,127.342323,140.962891,191.251160,102.873108,136.371704
1962-10-15,50.635025,237.719040,6.623009,88.520409,125.642067
1962-11-15,123.820274,149.783768,207.654083,89.887207,123.646217
