#Variables:
#tasmax_bcc-csm1-1_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_inmcm4_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_MIROC5_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_NorESM1-M_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K),tasmin_bcc-csm1-1_historical(K),tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),tasmax_inmcm4_historical(K),tasmin_inmcm4_historical(K),tasmax_MIROC5_historical(K),tasmin_MIROC5_historical(K),tasmax_NorESM1-M_historical(K),tasmin_NorESM1-M_historical(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K),tasmin_bcc-csm1-1_historical(K),tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),tasmax_inmcm4_historical(K),tasmin_inmcm4_historical(K),tasmax_MIROC5_historical(K),tasmin_MIROC5_historical(K),tasmax_NorESM1-M_historical(K),tasmin_NorESM1-M_historical(K)
1961-01-15,285.701630,273.345825,283.023346,271.697845,280.838074,269.510529,283.302032,272.200165,282.335815,272.415771
1961-02-15,290.290710,278.660431,289.225647,277.282959,284.968628,272.021820,288.767181,277.563568,285.940887,273.228088
1961-03-15,292.914581,279.080505,292.473236,278.616150,292.490021,278.924957,292.303986,279.236023,288.098328,274.501038
1961-04-15,299.184113,284.079651,299.375000,283.441742,297.115753,281.787018,291.848358,278.689514,296.620087,284.029419
1961-05-15,300.301392,288.010590,299.350800,285.571045,299.707550,286.677765,298.731415,285.777588,299.981964,285.923676
1961-06-15,304.643188,292.827240,301.958771,291.718933,307.140106,290.046021,301.394592,289.031860,302.786133,290.640167
1961-07-15,307.150848,294.771057,304.843750,293.365082,308.792908,293.825043,305.734711,294.177460,303.971832,292.709564
1961-08-15,304.073151,293.537537,303.631256,293.615540,302.726318,292.916168,305.229187,293.716797,302.512604,291.505707
1961-09-15,299.366333,288.317108,301.788422,288.909882,299.496765,289.682556,299.062805,287.879303,300.689148,288.557159
1961-10-15,294.567535,282.827576,296.641754,283.887299,296.642883,283.870819,294.054565,280.817352,297.157227,284.262360
1961-11-15,290.007904,277.825317,286.534882,274.371277,292.890503,279.438690,288.362396,275.557648,290.752075,278.444733
1961-12-15,290.471252,279.922333,283.108612,272.284912,286.142212,273.712585,284.480621,273.319122,284.893005,270.205627
1962-01-15,281.210266,270.528473,283.861145,271.774078,283.089417,273.092377,279.254517,266.197571,284.449127,273.771820
1962-02-15,284.425781,272.250763,286.725830,274.467743,285.985504,274.724609,288.507080,275.012634,287.102722,275.106171
1962-03-15,288.318420,275.764557,294.563202,280.400635,287.044495,275.461304,290.396393,277.761017,294.099396,282.195953
1962-04-15,296.281830,282.569061,296.011810,282.071075,293.377502,279.765930,297.401489,283.501404,301.126587,284.942566
1962-05-15,299.329132,287.044922,298.698242,286.616180,297.275757,285.658112,299.234436,284.134369,301.682892,287.983063
1962-06-15,304.273590,291.838013,302.253510,290.124512,303.836853,291.519226,303.517303,292.103943,302.706757,290.658752
1962-07-15,300.537750,291.109833,305.018616,293.246918,304.909607,292.951599,304.597076,293.447540,304.246765,291.582031
1962-08-15,303.572998,292.606018,305.404907,293.323151,302.992950,293.253815,303.573334,292.259003,303.244720,293.011810
1962-09-15,299.828522,286.852692,299.385284,288.180481,298.803436,287.709351,300.786743,288.673340,299.545837,289.807404
1962-10-15,292.821045,280.668121,294.962463,284.859650,295.747772,282.057434,295.708862,280.489227,296.817169,285.739166
1962-11-15,288.110413,275.278198,289.877563,278.243561,293.748016,280.769928,290.954468,277.845520,288.479065,276.524811
1962-12-15,283.266815,272.557465,285.852386,275.187500,282.743988,273.986755,285.241455,274.471039,285.215698,272.722504
1963-01-15,280.202850,271.312164,285.896942,274.798889,282.484344,272.044312,279.149628,268.127167,286.154388,274.859955
1963-02-15,282.353180,271.165466,284.406067,273.300903,286.445465,274.744568,289.437317,275.080170,284.541840,272.231873
