,"(deg C) Mean Temperature (PRISM MONTHLY) at -83.9691E,34.2219N, Jan 1961 to Dec 2005"
"1961-01-01",3.44
"1961-02-01",8.608
"1961-03-01",12.016
"1961-04-01",12.487
"1961-05-01",17.814
"1961-06-01",22.181
"1961-07-01",24.328
"1961-08-01",23.96
"1961-09-01",22.569
"1961-10-01",15.693
"1961-11-01",12.774
"1961-12-01",5.906
"1962-01-01",4.711
"1962-02-01",9.537
"1962-03-01",8.583
"1962-04-01",13.58
"1962-05-01",23.171
"1962-06-01",23.756
"1962-07-01",25.439
"1962-08-01",24.937
"1962-09-01",21.215
"1962-10-01",16.759
"1962-11-01",9.384
"1962-12-01",4.123
"1963-01-01",2.535
"1963-02-01",3.505
"1963-03-01",12.522
"1963-04-01",16.778
"1963-05-01",19.473
"1963-06-01",22.546
"1963-07-01",24.091
"1963-08-01",24.939
"1963-09-01",21.227
"1963-10-01",17.259
"1963-11-01",10.651
"1963-12-01",2.018
"1964-01-01",4.609
"1964-02-01",3.862
"1964-03-01",9.823
"1964-04-01",15.472
"1964-05-01",20.544
"1964-06-01",24.713
"1964-07-01",24.321
"1964-08-01",23.982
"1964-09-01",21.792
"1964-10-01",13.911
"1964-11-01",12.443
"1964-12-01",7.177
"1965-01-01",5.961
"1965-02-01",5.967
"1965-03-01",9.216
"1965-04-01",17.096
"1965-05-01",21.371
"1965-06-01",22.139
"1965-07-01",24.693
"1965-08-01",24.692
"1965-09-01",21.73
"1965-10-01",14.434
"1965-11-01",11.447
"1965-12-01",6.589
"1966-01-01",2.685
"1966-02-01",5.467
"1966-03-01",9.297
"1966-04-01",14.601
"1966-05-01",18.718
"1966-06-01",22.077
"1966-07-01",25.246
"1966-08-01",23.904
"1966-09-01",20.484
"1966-10-01",14.111
"1966-11-01",10.586
"1966-12-01",5.646
"1967-01-01",5.833
"1967-02-01",4.618
"1967-03-01",12.403
"1967-04-01",17.042
"1967-05-01",17.712
"1967-06-01",21.562
"1967-07-01",22.627
"1967-08-01",22.561
"1967-09-01",18.539
"1967-10-01",14.158
"1967-11-01",7.891
"1967-12-01",7.713
"1968-01-01",3.093
"1968-02-01",2.73
"1968-03-01",9.793
"1968-04-01",15.314
"1968-05-01",17.854
"1968-06-01",22.618
"1968-07-01",24.512
"1968-08-01",25.378
"1968-09-01",19.951
"1968-10-01",15.134
"1968-11-01",9.027
"1968-12-01",3.378
"1969-01-01",3.286
"1969-02-01",5.172
"1969-03-01",6.797
"1969-04-01",15.438
"1969-05-01",18.858
"1969-06-01",23.918
"1969-07-01",26.209
"1969-08-01",23.072
"1969-09-01",20.072
"1969-10-01",15.275
"1969-11-01",8.667
"1969-12-01",4.029
"1970-01-01",0.927
"1970-02-01",5.067
"1970-03-01",10.272
"1970-04-01",16.09
"1970-05-01",19.519
"1970-06-01",22.329
"1970-07-01",24.889
"1970-08-01",24.714
"1970-09-01",23.549
"1970-10-01",16.413
"1970-11-01",8.529
"1970-12-01",7.44
"1971-01-01",4.494
"1971-02-01",4.75
"1971-03-01",7.34
"1971-04-01",14.8
"1971-05-01",17.717
"1971-06-01",24.12
"1971-07-01",23.875
"1971-08-01",23.809
"1971-09-01",22.118
"1971-10-01",18.244
"1971-11-01",9.688
"1971-12-01",10.134
"1972-01-01",7.116
"1972-02-01",4.867
"1972-03-01",10.566
"1972-04-01",15.124
"1972-05-01",17.937
"1972-06-01",20.97
"1972-07-01",24.055
"1972-08-01",24.363
