,"(mm) Precipitation (PRISM MONTHLY) at -83.9691E,34.2219N, Jan 1961 to Dec 2005"
"1961-01-01",79.297
"1961-02-01",310.885
"1961-03-01",137.525
"1961-04-01",145.062
"1961-05-01",91.78
"1961-06-01",163.517
"1961-07-01",123.69
"1961-08-01",151.189
"1961-09-01",38.45
"1961-10-01",12.3
"1961-11-01",83.408
"1961-12-01",336.641
"1962-01-01",147.402
"1962-02-01",148.135
"1962-03-01",135.624
"1962-04-01",165.354
"1962-05-01",24.529
"1962-06-01",109.148
"1962-07-01",118.667
"1962-08-01",78.74
"1962-09-01",129.928
"1962-10-01",72.332
"1962-11-01",153.661
"1962-12-01",94.146
"1963-01-01",131.23
"1963-02-01",72.359
"1963-03-01",228.024
"1963-04-01",203.613
"1963-05-01",99.77
"1963-06-01",249.042
"1963-07-01",120.943
"1963-08-01",46.135
"1963-09-01",158.174
"1963-10-01",0
"1963-11-01",125.48
"1963-12-01",116.317
"1964-01-01",232.186
"1964-02-01",138.629
"1964-03-01",296.545
"1964-04-01",304.746
"1964-05-01",87.263
"1964-06-01",73.63
"1964-07-01",195.867
"1964-08-01",113.386
"1964-09-01",86.053
"1964-10-01",178.49
"1964-11-01",80.018
"1964-12-01",143.49
"1965-01-01",97.2
"1965-02-01",127.419
"1965-03-01",197.391
"1965-04-01",114.561
"1965-05-01",60.225
"1965-06-01",147.583
"1965-07-01",96.227
"1965-08-01",60.086
"1965-09-01",70.877
"1965-10-01",124.791
"1965-11-01",65.724
"1965-12-01",30.23
"1966-01-01",157.225
"1966-02-01",226.391
"1966-03-01",149.781
"1966-04-01",157.648
"1966-05-01",210.429
"1966-06-01",49.121
"1966-07-01",91.132
"1966-08-01",106.009
"1966-09-01",81.925
"1966-10-01",157.299
"1966-11-01",100.79
"1966-12-01",112.035
"1967-01-01",123.145
"1967-02-01",119.98
"1967-03-01",74.572
"1967-04-01",122.525
"1967-05-01",141.593
"1967-06-01",160.484
"1967-07-01",218.696
"1967-08-01",219.696
"1967-09-01",49.792
"1967-10-01",77.248
"1967-11-01",180.814
"1967-12-01",170.967
"1968-01-01",152.212
"1968-02-01",45.161
"1968-03-01",129.443
"1968-04-01",148.477
"1968-05-01",136.841
"1968-06-01",79.184
"1968-07-01",107.345
"1968-08-01",51.928
"1968-09-01",112.84
"1968-10-01",63.716
"1968-11-01",153.976
"1968-12-01",147.859
"1969-01-01",140.054
"1969-02-01",111.033
"1969-03-01",117.75
"1969-04-01",160.259
"1969-05-01",115.846
"1969-06-01",64.473
"1969-07-01",74.098
"1969-08-01",223.23
