#Variables:
#tasmax_bcc-csm1-1_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_inmcm4_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_inmcm4_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_inmcm4_rcp85(K),tasmax_inmcm4_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_NorESM1-M_rcp85(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmax_inmcm4_rcp85(K),tasmax_inmcm4_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_NorESM1-M_rcp85(K)
2006-01-15,283.120239,283.120239,282.067596,282.067596,287.153900,287.153900,279.940277,279.940277,285.868958,285.868958
2006-02-15,284.704071,284.704071,284.515778,284.515778,289.552094,289.552094,286.832245,286.832245,288.085632,288.085632
2006-03-15,293.891815,293.891815,291.667450,291.667450,290.064178,290.064178,291.192535,291.192535,292.051727,292.051727
2006-04-15,294.941437,294.941437,294.478516,294.478516,291.573029,291.573029,296.415833,296.415833,294.680389,294.680389
2006-05-15,298.441589,298.441589,300.005341,300.005341,298.805603,298.805603,300.655090,300.655090,299.770508,299.770508
2006-06-15,302.791290,302.791290,303.795929,303.795929,302.296906,302.296906,303.653229,303.653229,303.293121,303.293121
2006-07-15,306.796875,306.796875,305.125366,305.125366,304.140900,304.140900,304.446960,304.446960,305.399933,305.399933
2006-08-15,307.029633,307.029633,303.771667,303.771667,303.730286,303.730286,304.972107,304.972107,303.915222,303.915222
2006-09-15,300.584473,300.584473,301.140015,301.140015,300.159576,300.159576,301.856171,301.856171,302.212128,302.212128
2006-10-15,292.305511,292.305511,294.669556,294.669556,297.061066,297.061066,293.847504,293.847504,297.313599,297.313599
2006-11-15,289.115143,289.115143,291.869202,291.869202,288.187927,288.187927,292.154480,292.154480,292.700134,292.700134
2006-12-15,282.969452,282.969452,288.167542,288.167542,287.223633,287.223633,290.424103,290.424103,285.868439,285.868439
2007-01-15,283.155334,283.155334,285.162811,285.162811,287.639313,287.639313,285.976593,285.976593,286.577393,286.577393
2007-02-15,287.431610,287.431610,288.204224,288.204224,286.310181,286.310181,290.392395,290.392395,289.996399,289.996399
2007-03-15,291.012665,291.012665,292.309448,292.309448,292.157379,292.157379,295.589661,295.589661,292.055786,292.055786
2007-04-15,297.522644,297.522644,292.569946,292.569946,296.279297,296.279297,297.553406,297.553406,294.337708,294.337708
2007-05-15,300.331879,300.331879,297.980011,297.980011,300.437195,300.437195,299.957672,299.957672,300.939087,300.939087
2007-06-15,304.930756,304.930756,303.211456,303.211456,303.632202,303.632202,303.323914,303.323914,302.809753,302.809753
2007-07-15,306.171875,306.171875,303.308197,303.308197,305.771515,305.771515,303.652649,303.652649,304.898254,304.898254
2007-08-15,303.553589,303.553589,301.859406,301.859406,307.361115,307.361115,303.865936,303.865936,304.556244,304.556244
2007-09-15,305.145538,305.145538,296.830170,296.830170,305.088593,305.088593,298.135925,298.135925,301.603790,301.603790
2007-10-15,296.617004,296.617004,294.040863,294.040863,296.183685,296.183685,297.016968,297.016968,295.393860,295.393860
2007-11-15,289.629578,289.629578,288.875854,288.875854,292.083069,292.083069,294.142029,294.142029,288.524292,288.524292
2007-12-15,286.860657,286.860657,285.018158,285.018158,286.147186,286.147186,284.227905,284.227905,285.067657,285.067657
2008-01-15,285.948090,285.948090,283.643463,283.643463,286.289429,286.289429,283.036530,283.036530,281.579651,281.579651
2008-02-15,289.227081,289.227081,287.520294,287.520294,288.780182,288.780182,288.816345,288.816345,287.964142,287.964142
2008-03-15,293.412689,293.412689,291.030487,291.030487,293.433136,293.433136,294.391296,294.391296,288.576904,288.576904
2008-04-15,295.056335,295.056335,297.644897,297.644897,295.446228,295.446228,296.666870,296.666870,298.172577,298.172577
