#Variables:
#pr_bcc-csm1-1_rcp85(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_rcp85(mm):Monthly Precipitation Amount
#pr_inmcm4_rcp85(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_rcp85(mm):Monthly Precipitation Amount
#pr_NorESM1-M_rcp85(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)
2051-01-15,99.742813,29.408056,27.513706,111.051216,28.826332
2051-02-15,286.125763,125.592865,134.545181,184.527985,95.551743
2051-03-15,155.309677,79.272301,47.364052,168.300217,237.728058
2051-04-15,138.619705,62.560070,86.481361,189.359268,197.488449
2051-05-15,44.083767,119.473694,127.933701,136.208328,65.017113
2051-06-15,68.402138,24.279581,227.234390,142.388748,179.314667
2051-07-15,57.499477,178.221771,67.884056,95.287888,108.069374
2051-08-15,160.287109,141.480942,169.349014,207.054581,104.820091
2051-09-15,46.810650,74.311378,128.088104,124.747826,212.931381
2051-10-15,216.927719,95.760384,70.435783,208.532516,93.385696
2051-11-15,211.728531,206.242523,77.779953,164.213516,140.256699
2051-12-15,166.409836,71.067146,134.070877,95.318054,147.835693
2052-01-15,100.748016,120.602737,91.849152,95.836212,150.104004
2052-02-15,55.836624,70.026146,95.337669,122.943825,354.972870
2052-03-15,163.146957,202.931381,180.878448,257.225372,195.087509
2052-04-15,128.377396,185.948166,74.963081,97.829887,44.027161
2052-05-15,27.500462,271.095215,52.373398,192.924713,63.834362
2052-06-15,66.242889,89.743561,73.690002,192.629868,111.081314
2052-07-15,53.214108,25.803507,193.679077,296.323517,98.476776
2052-08-15,112.489502,193.127579,41.249718,217.646652,21.157518
2052-09-15,140.524872,51.828499,55.457329,124.916512,203.328629
2052-10-15,35.436504,9.117098,3.157520,88.440247,112.145844
2052-11-15,90.150497,88.768623,26.331490,117.714012,7.492875
2052-12-15,168.351227,70.912094,125.240829,49.439342,39.299587
