#Variables:
#tasmax_bcc-csm1-1_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_inmcm4_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_MIROC5_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_NorESM1-M_rcp85(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmin_CNRM-CM5_rcp85(K),tasmax_inmcm4_rcp85(K),tasmin_inmcm4_rcp85(K),tasmax_MIROC5_rcp85(K),tasmin_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmin_NorESM1-M_rcp85(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmax_CNRM-CM5_rcp85(K),tasmin_CNRM-CM5_rcp85(K),tasmax_inmcm4_rcp85(K),tasmin_inmcm4_rcp85(K),tasmax_MIROC5_rcp85(K),tasmin_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmin_NorESM1-M_rcp85(K)
2051-01-15,284.752289,274.192474,289.262024,277.164734,284.635193,270.115173,289.593842,275.968719,286.760803,273.776276
2051-02-15,286.469635,275.253632,290.009857,277.777100,287.792358,274.726898,290.608002,276.772064,285.386444,272.839539
2051-03-15,291.286072,278.209076,294.675659,281.477783,294.199890,279.926208,296.270172,282.598694,291.784393,278.455750
2051-04-15,296.525696,283.252014,297.432526,282.596619,296.874420,284.092743,300.578644,287.745087,297.263672,285.316681
2051-05-15,304.065369,289.632385,300.989319,288.093109,301.548676,289.722565,304.098724,292.054535,303.713928,289.956085
2051-06-15,307.143005,293.954803,307.690918,295.501465,303.487122,292.834747,304.415802,293.018768,304.302612,293.624146
2051-07-15,307.857697,296.243774,306.344879,296.009247,303.362244,293.518860,306.890289,294.405609,307.162476,295.796417
2051-08-15,309.149445,296.750641,307.137695,295.823486,304.216949,295.498047,308.009247,296.565643,306.852661,295.367798
2051-09-15,304.072632,291.347260,301.284668,289.821014,300.040161,289.820953,302.597717,292.872833,302.762756,293.087860
2051-10-15,296.867432,286.092621,296.103546,282.977936,295.871643,284.202301,295.880219,282.054169,298.444763,284.785034
2051-11-15,291.157196,279.481110,289.089050,276.790894,289.037750,279.158661,292.107910,279.927338,294.264069,281.003204
2051-12-15,283.514771,272.743622,287.811432,277.982025,285.087036,274.158905,287.477783,275.036346,289.287109,279.496643
2052-01-15,282.089569,271.232056,284.227356,273.674164,282.307892,270.658844,288.696747,277.061768,287.467865,274.830841
2052-02-15,289.802826,276.831635,290.384979,276.709656,287.636780,276.048370,288.043213,275.035675,290.458771,278.520111
2052-03-15,292.141724,280.407166,292.702026,280.377258,291.341858,279.554626,292.547974,279.169891,293.352448,280.645782
2052-04-15,297.980164,282.119080,295.049103,281.367157,294.790009,282.608612,295.811523,281.461395,298.362854,282.914368
2052-05-15,304.883667,290.120087,299.169617,287.165375,301.098846,289.010468,302.723236,288.422791,302.296997,287.530853
2052-06-15,307.205231,293.561340,301.177704,289.918030,303.422760,291.995911,304.957977,292.234558,305.346680,293.608612
2052-07-15,308.388458,297.209839,307.260651,295.074005,303.955719,294.163269,307.305023,295.171692,307.434235,295.335999
2052-08-15,308.043579,296.288452,308.054565,295.889954,304.664673,294.532562,306.994965,294.577972,309.378662,295.181549
2052-09-15,301.309418,289.126251,305.650604,291.835327,301.736664,290.309357,303.616119,293.197601,304.253418,292.282440
2052-10-15,297.109680,283.847076,301.441193,285.608398,298.139557,280.193054,297.421448,282.370270,298.340240,283.093079
2052-11-15,293.075317,280.360352,296.326691,281.997528,288.697357,274.932404,293.966400,282.358185,292.629120,278.550720
2052-12-15,286.017883,275.892517,284.179626,273.240173,286.081055,275.014313,286.127991,274.138855,286.852997,274.892517
2053-01-15,292.014130,277.893829,283.099854,270.911316,284.863708,273.809479,285.832642,273.049561,283.583862,272.223389
2053-02-15,292.141541,279.576202,291.195374,278.080231,287.265869,276.947784,289.103363,276.943359,286.867279,274.089386
2053-03-15,294.663727,280.386627,292.858582,280.179047,294.428589,281.098633,295.814331,283.267303,294.903748,279.725891
2053-04-15,297.912659,282.001831,296.981781,283.542572,297.213257,285.511108,298.809753,283.713776,301.738953,286.046295
